metric,../../train_test_data/benign_1_min/node-1-child-3/csv files/node1_conn.csv,../../train_test_data/benign_1_min/node-2-child-4/csv files/node2_conn.csv,../../train_test_data/new-benign_10_min/csv/child1/conn.csv,../../train_test_data/new-benign_10_min/csv/child2/conn.csv,../../train_test_data/new-benign_10_min/csv/cam-pod/conn.csv,../../train_test_data/new-benign_10_min/csv/lidar-pod/conn.csv,../../train_test_data/new-benign_10_min/csv/nginx-pod/conn.csv,BENIGN AVGS,STDDEV,,../../train_test_data/lidar-attack/csv/child1/conn.csv,../../train_test_data/lidar-attack/csv/child2/conn.csv,../../train_test_data/lidar-attack/csv/cam-pod/conn.csv,../../train_test_data/lidar-attack/csv/lidar-pod/conn.csv,../../train_test_data/lidar-attack/csv/nginx-pod/conn.csv,../../train_test_data/ddos_sim/csv/conn_malignant1.csv,MALIGNANT AVGS,STDDEV
bytes_resp_only_median,197,148,140,301,-1,140,-1,185.2,68.95433271,,140,270.5,565248,140,-1,33841,119927.9,249367.7611
bytes_resp_only_p99,292855.02,1921.6,9343.63,163484.2,-1,9343.63,-1,95389.616,129589.3047,,27879.64,294698.94,565248,29735.56,-1,33841,190280.628,238812.6205
bytes_resp_only_p95,1564.4,493,2757.7,15428,-1,2757.7,-1,4600.16,6126.092531,,2571,77887.1,565248,2571,-1,33841,136423.62,241698.7354
bytes_resp_only_p05,35.7,136,52,60,-1,52,-1,67.14,39.49554405,,52,63,565248,52,-1,33841,119851.2,249413.7995
bytes_resp_only_p01,6.98,96,42,24,-1,42,-1,42.196,33.4148482,,42,57.33,565248,42,-1,11262,115330.266,251558.5368
packets_orig_total,73233,9667,2886,36627,16,2888,1352,18095.57143,27460.3049,,939,1695,0,807,317,19485061,3248136.5,7954436.025
packets_resp_total,535909,3365,6676,3991,7,6690,1054,79670.28571,201198.3526,,1724,3881,4,1866,263,20501373,3418185.167,8369018.789
packets_ratio,0.136651932,2.872808321,0.432294787,9.177399148,2.285714285,0.431689088,1.282732448,2.374184287,3.16970624,,0.544663573,0.436743107,0,0.432475884,1.205323194,0.950427125,0.594938814,0.425873434
packets_bidirectional_mean,1.026247739,1.215397593,1.454086776,6.740364552,-1,1.454095623,1,2.148365381,2.258265246,,1.593069945,44.20436508,-1,1.592950882,1,13.06959835,12.29199685,18.54352801
packets_bidirectional_std,0.163800724,1.487780904,3.49668199,24.90332573,-1,3.496678668,0,5.591378003,9.584241796,,1.924467057,89.50985743,-1,1.924563515,0,71.11538061,32.89485372,43.7791687
packets_bidirectional_median,1,1,0.25,0.2,-1,0.25,1,0.616666667,0.42031734,,0.333333333,13.55555556,-1,0.333333333,1,0.009174312,3.046279307,5.885921864
packets_bidirectional_p99,1.601721981,6.314488916,13.5,96.62487273,-1,13.5,1,22.0901806,36.92275136,,7.04,232.98,-1,7.04,1,409.52,131.516,184.1223389
packets_bidirectional_p95,1.333333333,1.465909091,10,14.64,-1,10,1,6.406540404,5.882069492,,3.9,180.9,-1,3.9,1,0.083333333,37.95666667,79.92605054
packets_bidirectional_p05,0.857142857,0.5,0.016190719,0.050263158,-1,0.016190719,1,0.406631242,0.446240011,,0.040086207,2,-1,0.040086207,1,0.008849558,0.617804394,0.879613662
packets_bidirectional_p01,0.6,0.014757576,0.012590639,0.0422,-1,0.012590639,1,0.280356476,0.42207041,,0.018145992,2,-1,0.018145992,1,0.008695652,0.608997527,0.886896869
packets_orig_only_mean,2.160305344,2.067722076,3.988313856,3.995365006,16,3.986644407,2.811320755,5.001381635,4.924633877,,4.251336898,4.214285714,-1,3.583783784,1.928571429,215.3247419,45.86054394,94.73805198
packets_orig_only_std,25.21905483,21.64274155,33.26122709,50.6616315,nan,33.2599444,7.460516014,28.5841859,14.40047376,,14.42838957,28.38667609,-1,11.02638913,4.913538149,180.4901488,47.84902835,74.64708997
packets_orig_only_median,1,1,1,1,16,1,1,3.142857143,5.669467095,,1,1,-1,1,1,74,15.6,32.64659247
packets_orig_only_p99,7,8,60.14,23.04,16,60.14,19.9,27.74571429,22.87909589,,77.84,43.21,-1,65.24,19.98,440,129.254,175.1061429
packets_orig_only_p95,4,4,4,2,16,4,11.75,6.535714286,5.213021699,,18.7,10,-1,17.2,1,423,93.98,184.0613539
packets_orig_only_p05,1,1,1,1,16,1,1,3.142857143,5.669467095,,1,1,-1,1,1,27,6.2,11.62755348
packets_orig_only_p01,1,1,1,1,16,1,1,3.142857143,5.669467095,,1,1,-1,1,1,22,5.2,9.391485505
packets_resp_only_mean,1.107545193,1.226600985,2.630594522,2.7928,1,2.631262525,-1,1.898133871,0.866837359,,2.260340633,14.2398524,1.333333333,2.555825243,-1,104.8297361,25.04381753,44.91520382
packets_resp_only_std,8.173481783,3.082667998,8.940935076,27.17807915,0,8.991843337,-1,9.394501225,9.446801364,,10.84583134,197.1192477,0.577350269,12.33787475,-1,13.34174891,46.84441059,84.16084987
packets_resp_only_median,1,1,1,1,1,1,-1,1,0,,1,1,1,1,-1,108,22.4,47.85185472
packets_resp_only_p99,2,2,34,13,1,34,-1,14.33333333,15.85770055,,22.9,21.7,1.98,23,-1,113,36.516,43.67530515
packets_resp_only_p95,1,2,10,2,1,10,-1,4.333333333,4.412104562,,5,4,1.9,6,-1,112,25.78,48.22231848
packets_resp_only_p05,1,1,1,1,1,1,-1,1,0,,1,1,1,1,-1,86,18,38.01315562
packets_resp_only_p01,1,1,1,1,1,1,-1,1,0,,1,1,1,1,-1,42,9.2,18.33575742
