DNS,1762276484.652386,Cbr8vp2DG6VzuVPTe7,192.168.1.226,43133,192.168.1.1,53,udp,15501,-,connectivity-check.ubuntu.com,-,-,-,-,0,NOERROR,F,F,F,T,0,2620:2d:4002:1::198,2001:67c:1562::24,2001:67c:1562::23,2620:2d:4000:1::22,2620:2d:4000:1::2b,2620:2d:4000:1::23,2620:2d:4000:1::98,2620:2d:4000:1::96,2620:2d:4000:1::97,2620:2d:4000:1::2a,2620:2d:4002:1::196,2620:2d:4002:1::197,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,F
CONN,1762276435.461731,CMZqMa1u1rwIl54E87,192.168.1.226,38501,172.64.146.215,443,udp,-,0.135878,0,5125,SHR,T,F,0,Cd,0,0,11,5433,-,17
DNS,1762276493.042402,CNDjrO2VnolXKiCY9g,192.168.1.226,58607,192.168.1.1,53,udp,62704,-,onedscolprdcus22.centralus.cloudapp.azure.com,-,-,-,-,0,NOERROR,F,F,F,T,0,52.182.143.215,7.000000,F
DNS,1762276493.048340,CpLFzIIThbhb76l1g,192.168.1.226,46417,192.168.1.1,53,udp,10373,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
DNS,1762276493.064440,CktKm9fLu6Nfppu89,192.168.1.226,36834,192.168.1.1,53,udp,31503,-,ssl.gstatic.com,-,-,-,-,0,NOERROR,F,F,F,T,0,142.250.113.94,215.000000,F
DNS,1762276493.064678,CWuCpPUiMofkrV3f,192.168.1.226,42468,192.168.1.1,53,udp,44953,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
CONN,1762276493.026602,CNDjrO2VnolXKiCY9g,192.168.1.226,58607,192.168.1.1,53,udp,dns,0.015800,0,90,SHR,T,T,0,Cd,0,0,1,118,-,17
CONN,1762276493.026749,CpLFzIIThbhb76l1g,192.168.1.226,46417,192.168.1.1,53,udp,dns,0.021591,0,145,SHR,T,T,0,Cd,0,0,1,173,-,17
CONN,1762276493.048091,CktKm9fLu6Nfppu89,192.168.1.226,36834,192.168.1.1,53,udp,dns,0.016349,0,60,SHR,T,T,0,Cd,0,0,1,88,-,17
CONN,1762276493.048147,CWuCpPUiMofkrV3f,192.168.1.226,42468,192.168.1.1,53,udp,dns,0.016531,0,101,SHR,T,T,0,Cd,0,0,1,129,-,17
CONN,1762276457.037902,ChwZQ61BVRSfsqoBje,192.168.1.226,38438,13.107.213.57,443,tcp,-,42.836370,0,63,SHR,T,F,0,Cadf,0,0,6,375,-,6
DNS,1762276504.070915,C5ckMlu0KIWID6K0j,192.168.1.226,33543,192.168.1.1,53,udp,37614,-,e212585.b.akamaiedge.net,-,-,-,-,0,NOERROR,F,F,F,T,0,23.215.55.177,23.215.55.181,9.000000,9.000000,F
